country,subcategory_title_fixed,subcategory_title,article_count
Australia,Culture of Australia,Category:Culture of Australia,70
Australia,Politics of Australia,Category:Politics of Australia,57
Australia,Education in Australia,Category:Education in Australia,53
Australia,Government of Australia,Category:Government of Australia,37
Belgium,Culture of Belgium,Category:Culture of Belgium,41
Belgium,Politics of Belgium,Category:Politics of Belgium,40
Belgium,Government of Belgium,Category:Government of Belgium,35
Belgium,Economy of Belgium,Category:Economy of Belgium,22
Bosnia_and_Herzegovina,Culture of Bosnia and Herzegovina,Category:Culture of Bosnia and Herzegovina,46
Bosnia_and_Herzegovina,Bosnia and Herzegovina templates,Category:Bosnia and Herzegovina templates,40
Bosnia_and_Herzegovina,Economy of Bosnia and Herzegovina,Category:Economy of Bosnia and Herzegovina,25
Bosnia_and_Herzegovina,Politics of Bosnia and Herzegovina,Category:Politics of Bosnia and Herzegovina,25
England,Culture of England,Category:Culture of England,74
England,Housing in England,Category:Housing in England,30
England,Politics of England,Category:Politics of England,28
England,Geography of England,Category:Geography of England,26
Germany,Culture of Germany,Category:Culture of Germany,70
Germany,Education in Germany,Category:Education in Germany,65
Germany,Politics of Germany,Category:Politics of Germany,39
Germany,Economy of Germany,Category:Economy of Germany,30
Ghana,Politics of Ghana,Category:Politics of Ghana,69
Ghana,Government of Ghana,Category:Government of Ghana,65
Ghana,Culture of Ghana,Category:Culture of Ghana,54
Ghana,Education in Ghana,Category:Education in Ghana,38
Iran,Economy of Iran,Category:Economy of Iran,90
Iran,Culture of Iran,Category:Culture of Iran,83
Iran,Politics of Iran,Category:Politics of Iran,81
Iran,Government of Iran,Category:Government of Iran,43
Netherlands,Culture of the Netherlands,Category:Culture of the Netherlands,73
Netherlands,Government of the Netherlands,Category:Government of the Netherlands,37
Netherlands,Education in the Netherlands,Category:Education in the Netherlands,36
Netherlands,Politics of the Netherlands,Category:Politics of the Netherlands,25
Paraguay,Government of Paraguay,Category:Government of Paraguay,19
Paraguay,Economy of Paraguay,Category:Economy of Paraguay,12
Paraguay,Politics of Paraguay,Category:Politics of Paraguay,12
Paraguay,Culture of Paraguay,Category:Culture of Paraguay,9
Portugal,Politics of Portugal,Category:Politics of Portugal,46
Portugal,Government of Portugal,Category:Government of Portugal,39
Portugal,Culture of Portugal,Category:Culture of Portugal,28
Portugal,Economy of Portugal,Category:Economy of Portugal,13
Turkey,Culture of Turkey,Category:Culture of Turkey,73
Turkey,Politics of Turkey,Category:Politics of Turkey,59
Turkey,Education in Turkey,Category:Education in Turkey,27
Turkey,Government of Turkey,Category:Government of Turkey,25
Wales,History of Wales,Category:History of Wales,98
Wales,Welsh language,Category:Welsh language,78
Wales,Politics of Wales,Category:Politics of Wales,65
Wales,Culture of Wales,Category:Culture of Wales,61
